"Total_Less_lethal_force_2020","ORI","Population","Police Department"
NA,"AL0020000",110472,"Mobile County Sheriff's Office"
NA,"VA0020300",110426,"Albemarle County Police Department"
NA,"FL0139700",110284,"Miami Gardens Police Department"
67,"MT0560100",110157,"Billings Police Department"
110,"IL0720700",109924,"Peoria Police Department"
35,"TX0610600",109576,"Lewisville Police Department"
19,"CA0560800",109295,"San Buenaventura Police Department"
NA,"FL0180000",108958,"Flagler County Sheriff"
31,"TX0840800",108478,"League City Police Department"
28,"MI3913900",108184,"Kalamazoo County Sheriff's Office"
NA,"CA0420400",108140,"Santa Maria Police Department"
45,"TX2120400",108139,"Tyler Police Department"
49,"NC0410300",108105,"High Point Police Department"
0,"NJ0151400",108023,"Lakewood Police"
26,"FL0061200",107988,"Davie Police Department"
16,"CA0193300",107986,"Inglewood Police Department"
100,"FL0310000",107526,"Indian River County Sheriff"
NA,"CA0410600",106855,"Daly City Police Department"
20,"NV0160200",106664,"Sparks Police Department"
34,"CO0070100",106598,"Boulder Police Department"
NA,"CA0040200",105355,"Chico Police Department"
NA,"CA0197500",104989,"West Covina Police Department"
56,"TX2430500",104673,"Wichita Falls Police Department"
103,"WI0050200",104649,"Green Bay Police Department"
209,"NM0070100",104022,"Las Cruces Police Department"
NA,"CA0360900",104004,"Rialto Police Department"
NA,"TX0310000",103897,"Cameron County Sheriff's Office"
34,"TX1080400",103491,"Edinburg Police Department"
24,"OR0090100",103485,"Bend Police Department"
2,"IN0290100",103100,"Carmel Police Department"
17,"CA0370500",103035,"El Cajon Police Department"
20,"AL0050000",102994,"Baldwin County Sheriff's Office"
104,"WA0171300",102856,"Renton Police Department"
14,"CA0191200",102419,"Burbank Police Department"
31,"IN0710200",102119,"South Bend Police Department"
109,"TX1880100",101930,"Amarillo Police Department"
15,"TX1050000",101906,"Hays County Sheriff's Office"
31,"TX2260100",101860,"San Angelo Police Department"
31,"CA0480600",101616,"Vacaville Police Department"
NA,"FL0500200",101583,"Boca Raton Police Department"
NA,"ID0140200",101411,"Nampa Police Department"
2,"VA0420000",100642,"Hanover County Sheriff's Office"
15,"NM0230600",100506,"Rio Rancho Police Department"
4,"NJ0122500",100119,"Woodbridge Police Department"
82,"OR0340100",100085,"Beaverton Police Department"
NA,"WI0300100",100005,"Kenosha Police Department"
37,"GA0380000",99880,"Coweta County Sheriff's Office"
4,"NJ0120500",99584,"Edison Police"
13,"KS0230100",99368,"Lawrence Police Department"
42,"MA0120300",99171,"Brockton Police Department"
37,"AZ0140500",99096,"Yuma Police Department"
