ori-1,percent_officers_white,percent_officers_black,percent_officers_hispanic,percent_officers_asianpacific,percent_officers_native_american,percent_officers_other,civilian_complaints_reported_2016,civilian_complaints_reported_2018,civilian_complaints_reported_2019,civilian_complaints_reported_2020,civilian_complaints_reported_2021,civilian_complaints_reported_2022,population
CA0540000,0.44,0.02,0.34,0.01,0,0.18,10,8,26,17,17,25,135064
CA0540500,0.5,0,0.37,0.02,0.02,0.1,4,3,3,2,3,8,59757
CA0540700,0.69,0.01,0.28,0.02,0,0,2,11,6,2,17,12,135733
CA0560000,0.67,0.02,0.25,0.05,0,0.01,149,67,69,65,42,69,890327
CA0560400,0.58,0.03,0.33,0.04,0,0.02,47,44,50,18,26,28,210064
CA0560800,0.72,0.02,0.23,0,0.01,0.02,22,21,22,12,23,28,109295
CA0560900,0.92,0.02,0.02,0.04,0,0,7,6,7,1,11,6,125742
CA0570100,0.82,0.02,0.07,0.1,0,0,9,10,13,7,7,10,69853
CA0580000,0.76,0.06,0.1,0.04,0,0.04,18,7,14,7,8,20,62174
CA0580200,0.63,0,0.38,0,0,0,0,4,0,0,0,0,3916
MA0011500,0.98,0.02,0,0,0,0,4,,1,1,,,23015
